1;1-create-notes-py-csv;В папке exercise1 создать файл notes.py и notes.csv. Заполнить в notes.csv парy тестовыx строк: id, заголовок, тело заметки и дату/время создания. Разделение полей сделать через точку с запятой.;2023-08-15 00:22:08
2;2-read-csv;Написать функцию чтения файла notes.csv в список.;2023-08-15 00:23:01
3;3-change-datetime-format-in-csv;Изменить формат хранения даты/времени в файле csv с float на string, т.е. отредактировать последнее поле каждой записи в файле notes.csv. Данные внести по шаблону: yyyy-mm-dd HH:MM:SS;2023-08-15 00:23:57
4;4-write-csv;Реализовать запись списка в csv-файл.;2023-08-15 00:24:56
5;5-append-note-in-csv;Реализовать запись одной записи в конец csv-файла.;2023-08-16 00:25:44
6;6-sort-by-id-notes;Реализовать сортировку по id списка заметок.;2023-08-16 00:27:20
7;7-add-filter-by-date;Добавить фильтрацию по дате;2023-08-16 00:28:09
8;8-print-single-note;Вывод на экран одной заметки.;2023-08-17 00:28:53
9;9-print-all-notes;Вывод на экран всего списка заметок.;2023-08-17 00:29:57
10;10-next-id;Написать функцию, выдающую следующий свободный id;2023-08-17 00:32:14
11;11-date-now;Написать функцию, выдающую текущую дату/время в текстовом формате ГГГГ-ММ-ДД ЧЧ:ММ:СС;2023-08-17 00:33:22
12;12-add-note-to-string;Добавить функцию преобразования списка note в строку. Откорректировать вывод одной заметки в соответствии с новым методом.;2023-08-18 00:34:31
13;13-import-csv;Импортировать модуль csv. Использовать методы модуля для работы с csv-файлом. Выполнить необходимые корректировки реализованных методов.;2023-08-18 00:35:22
14;14-add-main;Добавить метод main и реализовать добавление новой заметки.;2023-08-18 00:38:49
15;15-show-all-notes;Реализовать функцию показа всех заметок в csv-файле. Добавить вызов в main.;2023-08-19 00:39:52
16;16-del-last-note;Реализовать удаление последней заметки.;2023-08-20 00:40:45
17;17-edit-last-note;Реализовать редактирование последней заметки.;2023-08-21 00:41:53
18;18-read-with-filter;Реализовать чтение заметок из csv-файла с фильтрацией по дате;2023-08-22 00:42:41
19;19-read-top-n;Реализовать чтение первых n заметок.;2023-08-22 00:43:54
20;20-read-tail-n;Реализовать чтение n последних заметок;2023-08-23 00:44:51
21;21-read-by-id;Реализовать чтение заметки по id;2023-08-23 00:45:50
22;22-edit-by-id;Редактировать заметку с заданным id;2023-08-23 00:46:36
23;23-del-by-id;Удаление заметки с заданным id;2023-08-23 00:47:17
24;24-export-json;Реализовать экспорт списка заметок в файл out_notes.json в json-формате.;2023-08-24 00:48:0225;ghbdtn;khghgvuytvuy;2023-09-16 08:44:13
25;654;6865433;2023-09-16 08:44:25
26;sd;de;2023-09-16 08:45:41
